t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
628,1.000000,308,76,0.588519,0.000000,0.000000,1.000000,0.996899,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,24
632,1.000000,308,76,0.606211,0.000000,0.000000,1.000000,0.995349,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,25
636,1.000000,308,76,0.623315,0.000000,0.000000,1.000000,0.993798,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,25
640,1.000000,308,76,0.639832,0.000000,0.000000,1.000000,0.992248,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,26
644,1.000000,308,76,0.655768,0.000000,0.000000,1.000000,0.990698,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,26
648,1.000000,308,76,0.671132,0.000000,0.000000,1.000000,0.989147,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,27
652,1.000000,308,76,0.685934,0.000000,0.000000,1.000000,0.987597,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,27
656,1.000000,308,76,0.700189,0.000000,0.000000,1.000000,0.986047,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,28
660,1.000000,308,76,0.713911,0.000000,0.000000,1.000000,0.984496,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,28
664,1.000000,308,76,0.727116,0.078529,0.000000,1.000000,0.982946,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,29
668,1.000000,308,76,0.739819,0.152617,0.000000,1.000000,0.981395,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,29
672,1.000000,308,76,0.752038,0.222434,0.000000,1.000000,0.979845,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,30
676,1.000000,308,76,0.763788,0.288143,0.000000,1.000000,0.978295,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,30
680,1.000000,308,76,0.775086,0.349902,0.000000,1.000000,0.976744,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,31
